submission_id,correct_answer,experiment_duration,experiment_end_time,experiment_start_time,itemID,phrase,phrase_length,qud,question,response,response_time,setting,times,type
3280,NA,814944,1645733172356,1645732357412,15,The rest were cheap despite my family’s love for luxurious holidays.,11,NA,NA,NA,17187,complement,413|331|301|363|293|315|293|299|309|323|501,continuation
3280,no,814944,1645733172356,1645732357412,15,NA,NA,,Did my family save money by entirely avoiding expensive hotels?,no,8388,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,9,"Last week, I tasted every dish at a family potluck.",10,NA,NA,NA,4057,full,332|308|316|301|338|317|339|253|298|277,context
3280,NA,814944,1645733172356,1645732357412,9,Some of the dishes were spicy.,6,NA,NA,NA,6858,scalar,315|253|316|284|404|381,trigger
3280,NA,814944,1645733172356,1645732357412,9,"In fact, they all were but fortunately I love spicy food.",11,NA,NA,NA,10965,cancelation,283|294|307|309|299|285|315|357|355|308|324,continuation
3280,yes,814944,1645733172356,1645732357412,9,NA,NA,,Have there been spicy dishes at the family potluck?,yes,3473,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,21,The librarian told me about how annoying it was to reorganize the reference section.,14,NA,NA,NA,5610,partial,523|252|444|629|291|269|307|349|307|309|307|309|307|397,context
3280,NA,814944,1645733172356,1645732357412,21,Only some of the dictionaries were labeled incorrectly.,8,NA,NA,NA,8698,focused,307|237|331|245|259|438|290|349,trigger
3280,NA,814944,1645733172356,1645732357412,21,The others were labeled appropriately though a few of them had been shelved in the wrong place.,17,NA,NA,NA,15174,complement,300|260|245|291|340|412|507|453|275|349|307|285|332|412|307|357|364,continuation
3280,no,814944,1645733172356,1645732357412,21,NA,NA,,Had all of the dictionaries at the library been labeled correctly?,no,3144,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,4,I was the chief medic overseeing the bus accident on the side of the highway.,15,NA,NA,NA,6178,full,284|218|229|235|221|1187|333|340|309|323|284|399|321|316|300,context
3280,NA,814944,1645733172356,1645732357412,4,Some of the passengers were still alive.,7,NA,NA,NA,9301,scalar,324|340|308|364|306|358|355,trigger
3280,NA,814944,1645733172356,1645732357412,4,"In fact, they all were and none were critically injured.",10,NA,NA,NA,13310,cancelation,348|284|284|316|309|299|293|371|389|355,continuation
3280,yes,814944,1645733172356,1645732357412,4,NA,NA,,Did any passenger survive the bus accident on the highway?,yes,3665,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,15f,Each member of my family uses a Windows PC.,9,NA,NA,NA,4573,filler,331|373|315|309|307|341|403|469|427,context
3280,NA,814944,1645733172356,1645732357412,15f,I prefer to use an Apple Mac as my laptop.,10,NA,NA,NA,8858,filler,331|301|338|317|364|284|323|421|347|365,trigger
3280,NA,814944,1645733172356,1645732357412,15f,Most computers on the campus are from Apple.,8,NA,NA,NA,13053,filler,525|356|573|394|533|364|396|523,continuation
3280,yes,814944,1645733172356,1645732357412,15f,NA,NA,,Is it easier to use Apple computers on campus? ,yes,2849,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,12,"While working in the veterinary clinic, I caught a glimpse of a large bulldog.",14,NA,NA,NA,5918,partial,316|259|277|259|270|962|365|348|340|372|364|348|340|404,context
3280,NA,814944,1645733172356,1645732357412,12,Only some of the dog’s teeth were missing.,8,NA,NA,NA,9517,focused,332|348|340|323|341|323|357|355,trigger
3280,NA,814944,1645733172356,1645732357412,12,The rest were intact so it should still be able to eat solid food.,14,NA,NA,NA,15222,complement,364|309|387|332|365|379|364|339|390|347|341|363|381|379,continuation
3280,yes,814944,1645733172356,1645732357412,12,NA,NA,,Was there a dog in the veterinary clinic?,yes,3033,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,2f,Tonight I will watch my favorite television show.,8,NA,NA,NA,3779,filler,659|430|354|309|395|333|403|366,context
3280,NA,814944,1645733172356,1645732357412,2f,It is about people who travel through time in a telephone box.,12,NA,NA,NA,8530,filler,315|317|307|357|379|333|355|341|314|357|315|373,trigger
3280,NA,814944,1645733172356,1645732357412,2f,They have a robot dog.,5,NA,NA,NA,11045,filler,331|365|307|398|346,continuation
3280,no,814944,1645733172356,1645732357412,2f,NA,NA,,Is the television show about aliens? ,no,6617,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,19f,I love to listen to music.,6,NA,NA,NA,3433,filler,499|324|339|261|347|284,context
3280,NA,814944,1645733172356,1645732357412,19f,I could spend hours just listening to Pink Floyd.,9,NA,NA,NA,6898,filler,421|292|301|323|300|300|357|283|341,trigger
3280,NA,814944,1645733172356,1645732357412,19f,"The radio doesn't play music I like, so I listen to my iPod.",13,NA,NA,NA,11430,filler,308|284|307|294|331|300|332|284|258|293|300|285|307,continuation
3280,no,814944,1645733172356,1645732357412,19f,NA,NA,,Does the radio play Pink Floyd? ,no,2600,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,1f,I drove to the mall yesterday.,6,NA,NA,NA,2882,filler,315|292|309|315|339|325,context
3280,NA,814944,1645733172356,1645732357412,1f,I stayed in the Apple store for one hour while looking at a new iMac.,15,NA,NA,NA,8402,filler,412|299|317|331|301|339|301|315|325|339|325|322|318|324|324,trigger
3280,yes,814944,1645733172356,1645732357412,1f,NA,NA,,Did the Apple store have a recently released computer?,yes,3505,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,17,I examined the damage after I dropped a bowling ball down the stairs.,13,NA,NA,NA,6030,full,853|324|378|325|348|325|330|317|316|348|323|388|316,context
3280,NA,814944,1645733172356,1645732357412,17,Some of the steps were damaged.,6,NA,NA,NA,8475,scalar,322|357|307|326|330|293,trigger
3280,NA,814944,1645733172356,1645732357412,17,The others were fine so the repairs shouldn’t be too expensive.,11,NA,NA,NA,13163,complement,381|339|365|331|349|339|333|339|412|356|317,continuation
3280,yes,814944,1645733172356,1645732357412,17,NA,NA,,Do any of the steps have to be repaired due to a dropped bowling ball?,yes,5723,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,6,"As the office’s main technician, I had to check each computer for the dangerous new virus.",16,NA,NA,NA,6594,full,395|277|315|309|403|365|307|285|331|341|275|404|339|309|411|325,context
3280,NA,814944,1645733172356,1645732357412,6,Some of our computers were infected.,6,NA,NA,NA,9530,scalar,275|373|347|421|331|333,trigger
3280,NA,814944,1645733172356,1645732357412,6,"In fact, they all were and the virus nearly destroyed the whole system.",13,NA,NA,NA,15050,cancelation,437|324|348|346|302|379|358|338|341|627|373|355|341,continuation
3280,yes,814944,1645733172356,1645732357412,6,NA,NA,,Has there been damaging software on any computers at the office?,yes,4772,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,20,My daughter told me about the awards assembly at her school.,11,NA,NA,NA,6981,partial,339|1726|459|348|349|435|514|670|307|341|419,context
3280,NA,814944,1645733172356,1645732357412,20,Some of the honors students received prizes.,7,NA,NA,NA,10831,scalar,627|309|323|677|364|699|332,trigger
3280,NA,814944,1645733172356,1645732357412,20,"In fact, they all did because the teachers didn’t want any of them to feel left out.",17,NA,NA,NA,17029,cancelation,398|307|330|269|316|276|299|285|307|309|323|309|306|350|299|309|363,continuation
3280,yes,814944,1645733172356,1645732357412,20,NA,NA,,Have there been honors students at the assembly?,yes,2455,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,10f,Today the dining hall is serving salmon for dinner.,9,NA,NA,NA,4186,filler,412|307|302|354|301|315|365|699|341,context
3280,NA,814944,1645733172356,1645732357412,10f,I don't like fish.,4,NA,NA,NA,6354,filler,331|325|467|341,trigger
3280,NA,814944,1645733172356,1645732357412,10f,"If I don't like what is being served, I will eat somewhere else.",13,NA,NA,NA,11266,filler,323|315|365|339|341|355|317|347|373|300|308|347|365,continuation
3280,no,814944,1645733172356,1645732357412,10f,NA,NA,,Will I eat in the dining hall? ,no,1869,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,13f,Today the United Nations announced in New York City a new plan for world peace.,15,NA,NA,NA,6194,filler,357|307|357|404|308|420|444|332|365|354|358|339|341|314|374,context
3280,NA,814944,1645733172356,1645732357412,13f,I would like to be a United Nations ambassador for the United States but I don't want to travel to Europe.,21,NA,NA,NA,14322,filler,316|298|317|316|348|315|300|566|282|610|333|356|349|331|341|323|317|355|333|355|325,trigger
3280,NA,814944,1645733172356,1645732357412,13f,"Luckily, the United Nations is based in New York.",9,NA,NA,NA,18181,filler,307|325|355|381|347|365|331|357|403,continuation
3280,yes,814944,1645733172356,1645732357412,13f,NA,NA,,Did I realize that New York City is in the United States? ,yes,8209,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,14f,"Because of the nice weather, I put the top down on my convertible.",13,NA,NA,NA,4925,filler,435|333|292|316|339|341|300|316|356|300|339|309|307,context
3280,NA,814944,1645733172356,1645732357412,14f," I was afraid of sunburning my head, so I wore a hat.",13,NA,NA,NA,10165,filler,346|270|306|278|346|341|540|340|387|308|348|367|345,trigger
3280,no,814944,1645733172356,1645732357412,14f,NA,NA,,Did my head get sunburned?,no,2760,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,2,"Before the hurricane landed, I checked every house in town.",10,NA,NA,NA,5330,full,339|341|299|437|331|277|379|285|331|285,context
3280,NA,814944,1645733172356,1645732357412,2,Some of the residents had evacuated.,6,NA,NA,NA,7898,scalar,283|309|307|309|379|324,trigger
3280,NA,814944,1645733172356,1645732357412,2,The rest stayed at home and foolishly risked their lives.,10,NA,NA,NA,12098,complement,267|277|363|317|323|293|308|492|380|340,continuation
3280,no,814944,1645733172356,1645732357412,2,NA,NA,,Were all of the residents in their town when the hurricane landed?,no,6429,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,7f,"After dinner, I listen to Celtic music and read a book.",11,NA,NA,NA,4482,filler,268|300|325|299|309|299|428|307|325|299|301,context
3280,NA,814944,1645733172356,1645732357412,7f,Today I listened to classic rock instead of Celtic music.,10,NA,NA,NA,8289,filler,284|260|267|293|299|277|371|429|307|420,trigger
3280,yes,814944,1645733172356,1645732357412,7f,NA,NA,,Did I still read a book? ,yes,3013,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,18f,Today I declared a major in Psychology.,7,NA,NA,NA,2951,filler,420|293|331|325|292|348|316,context
3280,NA,814944,1645733172356,1645732357412,18f,I am also interested in a minor in Theatre.,9,NA,NA,NA,6441,filler,340|292|332|325|331|317|315|357|316,trigger
3280,NA,814944,1645733172356,1645732357412,18f,I cannot do more than one major and minor.,9,NA,NA,NA,9879,filler,277|315|309|331|293|276|324|364|261,continuation
3280,no,814944,1645733172356,1645732357412,18f,NA,NA,,Am I also majoring in Philosophy? ,no,4486,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,8f,I wear my favorite shirt every week.,7,NA,NA,NA,2925,filler,401|292|372|357|307|340|339,context
3280,NA,814944,1645733172356,1645732357412,8f,I make sure to wash all of my clothes each week.,11,NA,NA,NA,6755,filler,261|267|237|227|141|212|484|363|318|306|301,trigger
3280,NA,814944,1645733172356,1645732357412,8f,I tend to loose my socks on a regular basis though.,11,NA,NA,NA,10062,filler,276|253|235|237|219|237|259|229|227|245|275,continuation
3280,yes,814944,1645733172356,1645732357412,8f,NA,NA,,Do I wash my favorite shirt every week?,no,4674,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,11f,I turned on my computer today to check my email.,10,NA,NA,NA,3406,filler,317|251|237|235|237|371|253|203|197|244,context
3280,NA,814944,1645733172356,1645732357412,11f,I have been waiting to hear from my mother.,9,NA,NA,NA,6059,filler,212|219|197|220|236|211|229|235|237,trigger
3280,NA,814944,1645733172356,1645732357412,11f,I had no new email.,5,NA,NA,NA,8029,filler,259|205|227|397|331,continuation
3280,no,814944,1645733172356,1645732357412,11f,NA,NA,,Did my mother write to me? ,no,2298,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,24,"While eating breakfast, I had lots of time to pore over the stock prices from yesterday.",16,NA,NA,NA,6546,full,315|461|347|292|307|261|283|285|299|293|275|465|327|525|420|380,context
3280,NA,814944,1645733172356,1645732357412,24,Only some of my stocks went up.,7,NA,NA,NA,9723,focused,342|363|453|324|300|435|350,trigger
3280,NA,814944,1645733172356,1645732357412,24,The others were relatively steady but my portfolio was still down for the year.,14,NA,NA,NA,15651,complement,340|276|316|324|427|608|401|332|420|285|363|341|355|325,continuation
3280,no,814944,1645733172356,1645732357412,24,NA,NA,,Did all the stock prices go down?,no,2933,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,20f,I am a big Star Wars fan.,7,NA,NA,NA,3069,filler,284|301|274|285|307|261|355,context
3280,NA,814944,1645733172356,1645732357412,20f,I have seen every movie and read every book.,9,NA,NA,NA,6369,filler,261|251|261|243|309|331|309|315|309,trigger
3280,NA,814944,1645733172356,1645732357412,20f,I can't stand it when they make TV shows out of movies.,12,NA,NA,NA,10065,filler,226|229|235|253|267|285|251|301|275|246|274|269,continuation
3280,no,814944,1645733172356,1645732357412,20f,NA,NA,,Have I seen the Star Wars TV show? ,yes,3756,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,4f,I read fantasy novels every week.,6,NA,NA,NA,2498,filler,291|261|228|276|315|262,context
3280,NA,814944,1645733172356,1645732357412,4f,Among my favorites are Terry Pratchett's novels.,7,NA,NA,NA,5221,filler,228|325|274|260|260|308|484,trigger
3280,NA,814944,1645733172356,1645732357412,4f,His stories are funny and sarcastic.,6,NA,NA,NA,7669,filler,268|291|300|284|380|308,continuation
3280,yes,814944,1645733172356,1645732357412,4f,NA,NA,,Does Terry Pratchett write fantasy books? ,yes,2873,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,13,"In the school parking lot, I carefully inspected an old bus.",11,NA,NA,NA,4562,full,373|259|365|314|414|347|309|355|437|291|301,context
3280,NA,814944,1645733172356,1645732357412,13,Some of its tires were flat.,6,NA,NA,NA,7258,scalar,291|269|299|301|499|285,trigger
3280,NA,814944,1645733172356,1645732357412,13,The others were fine so it would not cost too much to fix it.,14,NA,NA,NA,12298,complement,324|260|267|293|331|293|283|245|291|309|331|319|394|396,continuation
3280,yes,814944,1645733172356,1645732357412,13,NA,NA,,Did the old bus have flat tires?,yes,2501,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,19,"To keep the laboratory well stocked, I occasionally look at which chemicals are being used.",15,NA,NA,NA,6154,partial,429|380|324|304|352|299|341|316|260|451|373|332|380|307|597,context
3280,NA,814944,1645733172356,1645732357412,19,"Today, some of the liquid nitrogen containers needed to be refilled.",11,NA,NA,NA,11805,scalar,316|396|475|478|451|501|764|339|476|341|362,trigger
3280,NA,814944,1645733172356,1645732357412,19,"In fact, they all did which confused me because we hadn’t used a lot this morning.",16,NA,NA,NA,17421,cancelation,412|284|284|260|172|203|205|325|332|354|340|324|261|339|300|428,continuation
3280,no,814944,1645733172356,1645732357412,19,NA,NA,,Have all liquid nitrogen containers been full?,yes,5769,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,16,"After the babysitter left, I went to my liquor collection and made a drink.",14,NA,NA,NA,6434,partial,299|317|258|774|411|453|438|306|347|437|315|309|267|317,context
3280,NA,814944,1645733172356,1645732357412,16,Some of my new bottles of vodka were opened.,9,NA,NA,NA,10301,scalar,315|301|226|285|323|301|291|365|835,trigger
3280,NA,814944,1645733172356,1645732357412,16,"The others were untouched, but I was still concerned and decided to call her parents.",15,NA,NA,NA,16394,complement,294|362|293|371|437|324|301|314|373|347|350|467|316|476|340,continuation
3280,no,814944,1645733172356,1645732357412,16,NA,NA,,Have all new bottles of vodka been untouched?,no,5996,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,23,I had little time to prepare for my Spanish test so I quickly glanced at the new vocabulary items.,19,NA,NA,NA,6276,partial,363|285|251|261|251|237|275|236|252|260|252|260|267|228|275|286|242|253|299,context
3280,NA,814944,1645733172356,1645732357412,23,Only some of the words sounded like they do in English.,11,NA,NA,NA,9802,focused,229|259|292|244|237|267|301|291|253|267|269,trigger
3280,NA,814944,1645733172356,1645732357412,23,The others were totally unfamiliar which made the test somewhat challenging.,11,NA,NA,NA,13469,complement,226|237|243|245|251|294|306|301|339|261|314,continuation
3280,yes,814944,1645733172356,1645732357412,23,NA,NA,,Do any Spanish vocabulary items have similarities with English words?,yes,4155,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,12f,Tomorrow I will go to the dentist to have a cavity filled.,12,NA,NA,NA,4425,filler,276|292|251|302|234|277|331|325|299|237|275|341,context
3280,NA,814944,1645733172356,1645732357412,12f,"Everyone knows that flossing prevents cavities, but I haven't flossed enough.",11,NA,NA,NA,10293,filler,228|308|363|278|874|421|403|350|299|348|1340,trigger
3280,NA,814944,1645733172356,1645732357412,12f,I will try to brush my teeth more frequently.,9,NA,NA,NA,14890,filler,364|332|300|348|324|363|357|299|789,continuation
3280,no,814944,1645733172356,1645732357412,12f,NA,NA,,Did I floss enough? ,no,2813,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,22,I ran into a friend who started telling how my old high school football team did last season.,18,NA,NA,NA,6441,partial,299|277|290|287|266|269|268|259|275|292|291|277|283|549|331|277|307|292,context
3280,NA,814944,1645733172356,1645732357412,22,Some of their losses were close.,6,NA,NA,NA,8841,scalar,274|261|299|285|331|333,trigger
3280,NA,814944,1645733172356,1645732357412,22,"In fact, they all were which made the games stressful to watch.",12,NA,NA,NA,12953,cancelation,291|237|267|277|267|253|251|277|299|237|299|317,continuation
3280,no,814944,1645733172356,1645732357412,22,NA,NA,,Did the football team win each of their matches?,yes,4277,NA,NA,NA
3280,NA,814944,1645733172356,1645732357412,10,"When I visited Disney World, I quickly walked around the amusement park.",12,NA,NA,NA,4489,partial,260|276|275|253|260|380|275|292|267|341|275|381,context
3280,NA,814944,1645733172356,1645732357412,10,Some of my favorite rides were still running.,8,NA,NA,NA,7636,scalar,332|283|309|315|285|355|285|315,trigger
3280,NA,814944,1645733172356,1645732357412,10,The rest were shut down since they were no longer popular.,11,NA,NA,NA,12025,complement,301|275|293|292|292|333|276|603|316|316|331,continuation
3280,no,814944,1645733172356,1645732357412,10,NA,NA,,Had all of my favorite rides at Disney World been closed?,yes,3837,NA,NA,NA
3279,NA,587409,1645700041346,1645699453937,1f,"Yesterday, I went out to buy some bread.",8,NA,NA,NA,3041,filler,297|292|268|297|238|259|216|266,context
3279,NA,587409,1645700041346,1645699453937,1f,"On my way, I met my good friend Karl.",9,NA,NA,NA,6162,filler,269|262|261|259|263|244|261|248|287,trigger
3279,NA,587409,1645700041346,1645699453937,1f,"He told me, he hates bread.",6,NA,NA,NA,8277,filler,229|229|250|225|240|260,continuation
3279,no,587409,1645700041346,1645699453937,1ftrial,NA,NA,,Does Karl like bread?,no,2626,NA,NA,NA
